債券代碼,債券簡稱,停止轉(交)換起日,停止轉(交)換迄日,停止轉(交)換事由
53064,桂盟四,2025/12/03,2025/12/28,配股配息
61112,大宇資二,2025/11/24,2025/12/23,股東臨時會
67961,晉弘一,2025/12/09,2026/01/04,現金增資
68041,明係一,2025/12/01,2025/12/24,現金增資
68231,濾能一,2025/11/25,2025/12/24,股東臨時會
82992,群聯二,2025/11/27,2025/12/22,配股配息
84672,波力二KY,2025/12/02,2025/12/27,配股配息
84673,波力三KY,2025/12/02,2025/12/27,配股配息
