序號,股票代號,CB代號,名稱,信用評等,擔保,發行規模,轉換價格,發行年期,詢圈競拍,發行券商,產業分類,產業地位,股本大小,發行價格,到期還本價格,訂價溢價率,掛牌日期,到期日期,掛牌最高,掛牌最低
1,1101,11011,台泥一永,4,無擔保,80.0,36.5,5.0,詢圈,元大證券,水泥工業,台灣最大水泥廠,775.0,100.0,100.0,1.0918,2024-12-10,2029-12-10 00:00:00,108.1,94.4
2,1210,12101,大成一,0,0,10.0,33.59,5.0,詢圈,,食品工業,兩岸最大白肉雞電宰加工廠及飼料大廠,,,,,2007-09-11,2012/09/11,127.0,72.5
3,1216,12161,統一一,0,,50.0,48.6,3.0,詢圈,,食品工業,台灣食品業龍頭廠之一,,,,,2007-10-15,2010/10/15,106.75,91.2
4,1217,12171,愛之味一,0,,11.0,13.9,3.0,詢圈,,食品工業,以飲料、傳統類罐頭為主的食品商,,,,,2011-05-01,2014/05/01,123.0,100.0
5,1217,12172,愛之味二,0,,3.0,13.9,5.0,詢圈,台新證券,食品工業,以飲料、傳統類罐頭為主的食品商,,100.0,100.0,,2011-05-12,2016-05-12 00:00:00,112.0,89.0
6,1217,12173,愛之味三,7,無擔保,10.0,10.9,5.0,詢圈,台新證券,食品工業,以飲料、傳統類罐頭為主的食品商,49.5,100.0,100.0,1.0139,2013-03-07,2018-03-07 00:00:00,105.0,99.6
7,1218,12181,泰山一,新光銀行,有擔保,5.0,15.1,3.0,詢圈,群益證券,食品工業,台灣油脂、飲料大廠及轉投資全家便利超商,50.0,100.0,100.0,1.0155,2013-05-23,2016-05-23 00:00:00,109.9,99.0
8,1225,12251,福脂一,0,,5.0,14.0,5.0,詢圈,,食品工業,台灣油脂、飼料大廠,,,,,2009-12-11,2014/12/11,233.0,101.0
9,1258,12581,其祥一K,,,,38.8,,詢圈,台中銀證,,,,,100.0,,2015-09-15,2018-09-15 00:00:00,124.25,99.1
10,1258,12582,其祥二K,,,,30.0,,詢圈,國票證券,,,,,100.0,,2018-09-10,2023-09-10 00:00:00,101.3,76.2
11,1312,13121,國喬一    ,,,,,3.0,詢圈,,塑膠工業,台灣第二大SM及ABS廠,,,,,,,171.0,90.0
12,1316,13161,上曜一,板信商銀,有擔保,3.0,24.9,3.0,詢圈,元大證券,建材營造業,上曜集團旗下豪宅品牌,27.9,,,1.01,2011-08-02,2014/07/23,122.0,99.65
13,1316,13162,上曜二,板信商銀,有擔保,2.0,12.0,3.0,詢圈,元富證券,建材營造業,上曜集團旗下豪宅品牌,27.9,100.0,100.0,1.0161,2014-12-23,2017-12-23 00:00:00,177.0,104.0
14,1316,13163,上曜三,元大銀行,有擔保,5.0,20.1,3.0,詢圈,元富證券,建材營造業,上曜集團旗下豪宅品牌,27.9,100.0,100.0,1.1519,2018-11-07,2021-11-07 00:00:00,117.95,99.6
15,1316,13164,上曜四,日盛銀行,有擔保,4.0,14.9,5.0,詢圈,富邦證券,建材營造業,上曜集團旗下豪宅品牌,27.9,101.0,100.0,1.2,2021-01-29,2026-01-29 00:00:00,189.0,101.5
16,1316,13165,上曜五,8,無擔保,4.0,12.6,3.0,詢圈,富邦證券,建材營造業,上曜集團旗下豪宅品牌,27.9,100.0,100.0,1.02,2021-02-01,2024-02-01 00:00:00,232.0,99.6
17,1316,13166,上曜六,板信銀行,有擔保,4.0,17.8,3.0,競拍,元富證券,,,,100.0,100.0,1.1995,2024-12-27,2027-12-27 00:00:00,125.5,102.8
18,1319,13191,東陽一,0,,10.0,50.9,5.0,詢圈,,汽車工業,全球第一大汽車AM塑膠件製造商,,,,,2010-12-24,2015/12/24,115.0,95.4
19,1336,13361,台翰一,台灣中小企,有擔保,3.5,16.58,3.0,詢圈,國泰證券,電子零組件業,宣德轉投資之消費電子產品外殼製造商,7.88,100.5,103.03,1.0303,2014-09-10,2017-09-10 00:00:00,116.0,101.1
20,1337,13371,再生一,4,無擔保,6.0,101.6,3.0,詢圈,元大證券,塑膠工業,大陸第一大EVA發泡材商,26.9,,,1.05,2012-10-11,2015/10/01,120.5,82.95
21,1338,13381,廣華一K,5,無擔保,6.0,68.8,5.0,詢圈,國票證券,汽車工業,汽車OEM塑膠內飾件大廠，供應以大陸市場為主,8.38,100.0,100.0,1.0208,2021-01-19,2026-01-19 00:00:00,117.0,97.1
22,1338,13382,廣華二K,5,無擔保,6.0,39.4,5.0,詢圈,國票證券,汽車工業,汽車OEM塑膠內飾件大廠，供應以大陸市場為主,8.38,100.0,100.0,1.051,2023-12-01,2028-12-01 00:00:00,115.5,93.05
23,1341,13411,富林一K,6,無擔保,1.5,75.8,3.0,競拍,中信證券,塑膠工業,越南第一大PVC人造皮革生產商,5.17,115.0,101.51,1.0218,2021-05-13,2024-05-13 00:00:00,116.9,100.8
24,1342,13421,八貫一,華南銀行,有擔保,2.0,72.0,3.0,競拍,元大證券,其他業,台灣機能性皮布料及薄膜製造商,7.13,112.93,100.0,1.0381,2022-06-02,2025-06-02 00:00:00,243.0,106.5
25,1409,14093,新纖三,0,,22.0,9.93,5.0,詢圈,,紡織纖維,新光集團旗下，台灣知名化纖廠,,,,,2007-04-17,2012/04/17,180.0,77.0
26,1432,14321,大魯閣一,有擔保,有擔保,2.5,20.1,3.0,詢圈,元大證券,運動休閒,經營型娛樂購物中心事業,9.0,100.0,103.8,1.0177,2015-02-12,2018-02-12 00:00:00,119.0,100.5
27,1432,14322,大魯閣二,8,無擔保,2.5,20.1,5.0,詢圈,元大證券,運動休閒,經營型娛樂購物中心事業,9.0,100.0,100.0,1.01,2015-02-13,2020-02-13 00:00:00,119.1,92.3
28,1436,14361,華友聯一,第一銀行,有擔保,3.0,40.0,5.0,競拍,第一金證,建材營造業,以市地重劃為基礎且針對首購族市場的建商,9.8,107.73,100.0,1.0521,2020-01-17,2025-01-17 00:00:00,695.0,106.0
29,1436,14362,華友聯二,第一銀行,有擔保,10.0,42.0,5.0,詢圈,第一金證,建材營造業,以市地重劃為基礎且針對首購族市場的建商,9.8,101.0,100.0,1.0805,2020-12-01,2025-12-01 00:00:00,600.0,111.1
30,1436,14363,華友聯三,8,無擔保,6.0,182.5,3.0,詢圈,國泰證券,建材營造業,以市地重劃為基礎且針對首購族市場的建商,11.4,100.0,104.5678,1.051,2024-08-27,2027-08-27 00:00:00,124.25,93.6
31,1436,14364,華友聯四,8,無擔保,20.0,140.3,3.0,詢圈,國泰證券,建材營造業,以市地重劃為基礎且針對首購族市場的建商,11.4,101.0,104.5678,1.02,2025-03-18,2028-03-18 00:00:00,104.95,92.5
32,1437,14371,勤益一,0,,,,5.0,詢圈,,其他業,投資控股公司，從事地產、紡織貿易及投資事業,,,,,,,266.0,92.0
33,1438,14381,三地開發一,有擔保,有擔保,10.0,57.5,5.0,競拍,統一證券,建材營造業,開發以台南及高雄地區為主力的建商,9.12,117.63,102.5251,1.0201,2024-12-19,2029-12-19 00:00:00,134.0,119.0
34,1442,14422,名軒二,台銀,有擔保,8.0,26.5,3.0,詢圈,凱基證券,建材營造業,麗寶集團旗下成員,36.6,,,1.0271,2012-08-01,2015/07/22,165.0,105.55
35,1442,14423,名軒三,台灣銀行,有擔保,8.0,17.9,5.0,詢圈,凱基證券,建材營造業,麗寶集團旗下成員,36.6,100.0,100.0,1.0142,2015-12-01,2020-12-01 00:00:00,188.0,105.0
36,1457,14571,宜進一,7,無擔保,3.0,10.0,3.0,詢圈,福邦證券,紡織纖維,台灣前五大加工絲廠之一,30.2,,,1.0162,2011-06-30,2014/06/20,109.8,90.0
37,1464,14641,得力一,合庫銀行,有擔保,2.0,24.6,3.0,詢圈,合庫證券,紡織纖維,台灣老牌織染一貫化布廠,40.8,100.0,0.0,1.04,2015-05-20,2018-05-20 00:00:00,172.0,107.0
38,1464,14642,得力二,6,無擔保,2.5,24.0,3.0,詢圈,合庫證券,紡織纖維,台灣老牌織染一貫化布廠,40.8,100.0,0.0,1.017,2015-05-21,2018-05-21 00:00:00,177.0,103.0
39,1466,14661,聚隆一,合庫擔,有擔保,3.0,32.8,3.0,詢圈,元大證券,紡織纖維,台灣第二大的尼龍加工絲廠,11.1,,,1.011,2011-05-30,2014/05/20,127.0,98.0
40,1466,14662,聚隆二,5,無擔保,3.0,20.1,5.0,詢圈,福邦證券,紡織纖維,台灣第二大的尼龍加工絲廠,11.1,100.0,100.0,1.01,2013-01-14,2018-01-14 00:00:00,147.5,102.75
41,1466,14663,聚隆三,5,無擔保,4.0,22.6,5.0,詢圈,福邦證券,紡織纖維,台灣第二大的尼龍加工絲廠,11.1,100.0,100.0,1.01,2014-09-24,2019-09-24 00:00:00,109.0,98.0
42,1467,14671,南緯一,0,,,,,詢圈,,紡織纖維,為品牌大廠代工及與Wal-mart合作的成衣廠,,,,,,,142.2,101.5
43,1472,14721,三洋實業一,合庫銀,有擔保,3.0,29.99,3.0,詢圈,合庫證券,建材營造業,承建公共工程、商辦、住宅等營造工程,4.25,101.0,100.0,1.02,2019-01-30,2022-01-30 00:00:00,124.5,99.1
44,1474,14741,弘裕一,0,,,,,詢圈,,紡織纖維,台灣最大的工業用布廠,,,,,,,125.0,100.0
45,1474,14742,弘裕二,6,無擔保,3.0,16.0,3.0,競拍,兆豐證券,紡織纖維,台灣最大的工業用布廠,13.0,109.01,101.5075,1.0224,2022-01-26,2025-01-26 00:00:00,117.0,96.0
46,1474,14743,弘裕三,6,無擔保,3.0,14.5,3.0,競拍,兆豐證券,紡織纖維,台灣最大的工業用布廠,13.0,101.5,101.5075,1.0283,2025-03-31,2028-03-31 00:00:00,99.95,89.5
47,1477,14771,聚陽一,0,,,,5.0,詢圈,,紡織纖維,全球第五大、台灣第一大成衣代工廠,,,,,,,386.0,110.0
48,1477,14772,聚陽二 ,0,,,,5.0,詢圈,,紡織纖維,全球第五大、台灣第一大成衣代工廠,,,,,,,292.0,100.0
49,1477,14773,聚陽三,0,,6.0,44.8,5.0,詢圈,,紡織纖維,全球第五大、台灣第一大成衣代工廠,,,,,2009-06-12,2014/06/12,495.0,106.5
50,1477,14774,聚陽四,3,無擔保,7.0,85.2,5.0,詢圈,元富證券,紡織纖維,全球第五大、台灣第一大成衣代工廠,24.2,100.0,100.0,1.01,2012-08-24,2017-08-24 00:00:00,401.0,106.2
51,1504,15043,東元三,4,無擔保,30.0,22.5,3.0,詢圈,富邦證券,電機機械,多角化經營的台灣老牌家電廠,214.0,,,1.15,2012-07-12,2015/07/02,167.0,99.05
52,1506,15061,正道一,安泰銀行,有擔保,7.0,24.18,3.0,詢圈,統一證券,電機機械,台灣知名活塞與汽車鍛件製造商,30.0,100.0,100.0,1.0147,2015-01-23,2018-01-23 00:00:00,121.0,96.95
53,1513,15131,中興電一,5,無擔保,15.0,27.7,5.0,詢圈,凱基證券,電機機械,台灣知名重電及機電工程廠商,50.3,100.35,100.0,1.0983,2020-01-16,2025-01-16 00:00:00,213.0,101.0
54,1513,15132,中興電二,5,無擔保,15.0,61.4,5.0,詢圈,凱基證券,電機機械,台灣知名重電及機電工程廠商,50.3,100.4,100.0,1.0407,2020-12-17,2025-12-17 00:00:00,231.0,106.0
55,1514,15141,亞力一,6,無擔保,10.0,67.0,5.0,詢圈,華南永昌,電機機械,生產配電盤、電力變壓器為主的電機公司,25.3,100.5,100.0,1.0983,2023-08-17,2028-08-17 00:00:00,276.0,103.8
56,1514,15142,亞力二,6,無擔保,12.0,113.2,5.0,詢圈,元大證券,電機機械,生產配電盤、電力變壓器為主的電機公司,26.2,100.5,100.0,1.13,2025-01-13,2030-01-13 00:00:00,127.0,99.45
57,1515,15151,力山一,0,,,,,詢圈,,電機機械,台灣知名健身器材代工廠,,,,,,,131.0,122.0
58,1522,15221,堤維西一,0,,,,,詢圈,,汽車工業,專攻AM市場之台灣第二大車燈製造商,,,,,,,142.0,92.0
59,1524,15241,耿鼎一,0,,,,,詢圈,,汽車工業,為汽車AM鈑金件製造商,,,,,,,195.0,103.2
60,1524,15242,耿鼎二,0,,4.0,,5.0,詢圈,,汽車工業,為汽車AM鈑金件製造商,,,,,2005-01-22,2010/01/22,100.0,100.0
61,1524,15243,耿鼎三,安泰銀行擔保,有擔保,3.0,7.5,3.0,詢圈,元大證券,汽車工業,為汽車AM鈑金件製造商,16.5,,,1.0714,2012-01-02,2014/12/22,127.0,101.0
62,1526,15261,日馳一,6,無擔保,5.0,38.0,3.0,競拍,富邦證券,電機機械,全球知名的自行車內、外變速器製造商,6.0,103.81,100.0,1.0683,2023-09-19,2026-09-19 00:00:00,104.8,90.1
63,1528,15281,恩德一,0,,,,,詢圈,,電機機械,台灣生產PCB鑽孔機、成型機與木工機械廠商,,,,,,,132.0,78.3
64,1528,15282,恩德二,0,,3.0,14.7,5.0,詢圈,,電機機械,台灣生產PCB鑽孔機、成型機與木工機械廠商,,,,,2010-07-16,2015/07/16,149.0,102.0
65,1529,15291,樂士一,0,,,,,詢圈,,電機機械,以重電事業及太陽能光電業務為主,,,,,,,179.0,54.0
66,1530,15301,亞崴一,0,,,,,詢圈,,電機機械,台灣知名CNC加工機及龍門機製造商,,,,,,,115.0,103.0
67,1530,15302,亞崴二,6,無擔保,4.0,51.0,5.0,詢圈,元大證券,電機機械,台灣知名CNC加工機及龍門機製造商,9.66,100.0,100.0,1.119649,2015-05-14,2020-05-14 00:00:00,105.0,98.0
68,1532,15321,勤美一,0,,,,5.0,詢圈,,電機機械,台灣鑄鐵龍頭廠之一，並轉投資營建地產,,,,,,,225.0,123.0
69,1532,15322,勤美二,0,,,,5.0,詢圈,,電機機械,台灣鑄鐵龍頭廠之一，並轉投資營建地產,,,,,,,211.0,102.5
70,1532,15323,勤美三,0,,,,5.0,詢圈,,電機機械,台灣鑄鐵龍頭廠之一，並轉投資營建地產,,,,,,,338.0,102.0
71,1532,15324,勤美四,6,無擔保,15.0,34.2,3.0,競拍,台新證券,電機機械,台灣鑄鐵龍頭廠之一，並轉投資營建地產,37.8,110.04,100.0,1.04,2022-01-24,2025-01-24 00:00:00,184.0,99.75
72,1533,15331,車王電一,0,,,,3.0,詢圈,,汽車工業,主攻AM車用電子零組件之大廠,,,,,,,132.0,103.0
73,1533,15332,車王電二,6,無擔保,10.0,73.5,3.0,競拍,凱基證券,汽車工業,主攻AM車用電子零組件之大廠,9.85,105.51,100.0,1.05,2022-01-26,2025-01-26 00:00:00,111.0,93.5
74,1535,15351,中宇一,4,無擔保,6.0,59.7,3.0,詢圈,統一證券,電機機械,中鋼集團旗下，環保工程廠商,12.4,,,1.012,2012-02-20,2015/02/10,164.0,104.0
75,1536,15361,和大一,0,,,,,詢圈,,汽車工業,台灣最大、全球前十大車廠之傳動零組件供應商,,,,,,,231.0,97.1
76,1536,15362,和大二,0,,13.8,25.9,5.0,詢圈,,汽車工業,台灣最大、全球前十大車廠之傳動零組件供應商,,,,,2006-07-08,2011/07/08,141.5,82.15
77,1536,15363,和大三,0,,2.0,8.36,5.0,詢圈,,汽車工業,台灣最大、全球前十大車廠之傳動零組件供應商,,,,,2009-11-05,2014/11/05,765.0,725.0
78,1536,15364,和大四,6,無擔保,15.0,72.26,3.0,詢圈,台中銀證,汽車工業,台灣最大、全球前十大車廠之傳動零組件供應商,28.0,100.0,100.0,1.06,2024-08-12,2027-08-12 00:00:00,130.3,93.9
79,1537,15371,廣隆一,0,,5.0,30.5,5.0,詢圈,,電機機械,鉛酸蓄電池專業製造商,,,,,2007-11-27,2012/11/27,225.0,83.0
80,1541,15411,錩泰一,0,,,,,詢圈,,電機機械,主要代工生產圓鋸機、線鋸機等桌上型木工機廠商,,,,,,,129.45,77.0
81,1560,15601,中砂一,4,無擔保,10.0,292.1,5.0,競拍,凱基證券,電機機械,台灣從事砂輪及再生晶圓生產製造廠商,14.5,118.38,100.0,1.02,2024-06-24,2029-06-24 00:00:00,141.85,98.7
82,1566,15661,捷邦一,,,,32.93,,詢圈,凱基證券,,,,,100.0,,2012-12-14,2017-12-14 00:00:00,124.85,94.0
83,1569,15691,濱川一,0,,,,,詢圈,,電腦及週邊設備業,全球NB鍵盤支架最大供應商,,,,,,,207.0,92.25
84,1569,15692,濱川二,0,,1.5,42.2,3.0,詢圈,,電腦及週邊設備業,全球NB鍵盤支架最大供應商,,,,,2010-01-18,2013/01/18,182.0,107.0
85,1569,15693,濱川三,0,,1.2,43.6,5.0,詢圈,,電腦及週邊設備業,全球NB鍵盤支架最大供應商,,,,,2010-01-19,2015/01/19,162.0,107.0
86,1569,15694,濱川四,台新銀,有擔保,2.0,39.0,3.0,詢圈,台新證券,電腦及週邊設備業,全球NB鍵盤支架最大供應商,12.1,,,1.0104,2012-12-12,2015/12/02,136.95,101.0
87,1569,15695,濱川五,台新銀行,有擔保,2.0,22.6,3.0,詢圈,台新證券,電腦及週邊設備業,全球NB鍵盤支架最大供應商,12.1,100.0,103.6434,1.01,2015-02-04,2018-02-04 00:00:00,187.0,100.2
88,1569,15696,濱川六,7,無擔保,2.0,23.0,4.0,詢圈,台新證券,電腦及週邊設備業,全球NB鍵盤支架最大供應商,12.1,100.0,102.0151,1.07,2019-02-27,2023-02-27 00:00:00,149.0,95.0
89,1582,15821,信錦一,0,,6.0,50.2,3.0,詢圈,,電子零組件業,全球最大監視器軸承及底座廠商,,,,,2011-02-19,2014/02/19,130.8,97.6
90,1582,15822,信錦二,4,無擔保,8.0,63.8,3.0,詢圈,康和證券,電子零組件業,全球最大監視器軸承及底座廠商,12.4,100.0,101.5075,1.013,2015-01-20,2018-01-20 00:00:00,147.0,98.5
91,1582,15823,信錦三,4,無擔保,12.0,66.8,3.0,競拍,富邦證券,電子零組件業,全球最大監視器軸承及底座廠商,12.4,111.87,100.0,1.02,2021-09-09,2024-09-09 00:00:00,203.0,101.0
92,1583,15831,程泰一,6,無擔保,6.0,102.0,5.0,詢圈, 富邦證券,電機機械,台灣規模最大的專業CNC車床製造商,11.0,100.5,100.0,1.1308,2015-03-11,2020-03-11 00:00:00,106.8,95.05
93,1584,15841,精剛一,0,,,,,詢圈,,其他業,台灣鋼鐵集團旗下合金鋼廠,,,,,,,117.7,93.0
94,1584,15842,精剛二,聯保,有擔保,2.87,23.6,3.0,詢圈,富邦證券,其他業,台灣鋼鐵集團旗下合金鋼廠,19.2,,,1.01,2012-04-24,2015/04/14,113.0,100.0
95,1586,15861,和勤一,安泰銀行,有擔保,3.0,30.5,3.0,詢圈,康和證券,電機機械,台灣汽車及硬碟零件雙核心精沖技術大廠,8.63,100.0,100.0,1.027,2015-01-13,2018-01-13 00:00:00,189.0,100.2
96,1586,15862,和勤二,合庫銀,有擔保,2.0,46.0,3.0,詢圈,合庫證券,電機機械,台灣汽車及硬碟零件雙核心精沖技術大廠,8.63,100.0,100.0,1.0768,2020-08-31,2023-08-31 00:00:00,127.5,99.5
97,1586,15863,和勤三,7,無擔保,2.0,45.0,3.0,詢圈,合庫證券,電機機械,台灣汽車及硬碟零件雙核心精沖技術大廠,8.63,100.0,100.7519,1.0207,2020-09-01,2023-09-01 00:00:00,125.25,98.55
98,1586,15864,和勤四,合庫銀行,有擔保,2.0,33.39,3.0,競拍,合庫證券,電機機械,台灣汽車及硬碟零件雙核心精沖技術大廠,8.63,107.2,100.0,1.05,2023-08-30,2026-08-30 00:00:00,124.0,105.0
99,1586,15865,和勤五,7,無擔保,3.0,32.74,3.0,詢圈,合庫證券,電機機械,台灣汽車及硬碟零件雙核心精沖技術大廠,8.63,100.0,101.5075,1.051,2023-08-31,2026-08-31 00:00:00,114.5,93.55
100,1589,15891,永冠一K,6,無擔保,15.0,158.0,5.0,詢圈,凱基證券,電機機械,全球知名的金屬鑄件供應商,11.8,100.0,105.1,1.0822,2014-06-03,2019-06-03 00:00:00,165.0,100.05
101,1589,15892,永冠二K,5,無擔保,25.0,217.0,5.0,詢圈,凱基證券,電機機械,全球知名的金屬鑄件供應商,11.8,100.0,102.53,1.0988,2015-08-18,2020-08-18 00:00:00,114.0,97.5
102,1589,15893,永冠三K,6,無擔保,15.0,100.0,5.0,競拍,中信證券,電機機械,全球知名的金屬鑄件供應商,11.8,103.56,100.0,1.0249,2020-09-03,2025-09-03 00:00:00,116.0,93.7
103,1589,15894,永冠四K,6,無擔保,15.0,62.3,5.0,競拍,永豐金證,電機機械,全球知名的金屬鑄件供應商,11.8,104.23,100.0,1.0213,2023-02-20,2028-02-20 00:00:00,131.1,92.45
104,1592,15921,英瑞一K,,,,20.6,,詢圈,元大證券,,,,,100.0,,2019-11-18,2022-11-18 00:00:00,99.6,26.1
105,1593,15931,祺驊一,5,無擔保,0.6,45.2,3.0,詢圈,兆豐證券,運動休閒,台灣運動器材零組件製造商,3.98,100.0,101.5075,1.03,2015-01-30,2018-01-30 00:00:00,145.0,102.05
106,1593,15932,祺驊二,5,無擔保,1.0,64.9,3.0,詢圈,玉山證券,運動休閒,台灣運動器材零組件製造商,3.98,101.0,100.0,1.07,2020-11-04,2023-11-04 00:00:00,228.0,105.0
107,1595,15951,川寶一,5,無擔保,2.4,84.5,3.0,詢圈,群益證券,電子零組件業,全球知名PCB半自動曝光機廠,4.75,100.0,100.0,1.0108,2015-02-11,2018-02-11 00:00:00,115.5,96.0
108,1595,15952,川寶二,6,無擔保,3.0,38.3,5.0,競拍,福邦證券,電子零組件業,全球知名PCB半自動曝光機廠,4.79,109.82,100.0,1.05,2024-09-02,2029-09-02 00:00:00,191.0,102.0
109,1598,15981,岱宇一,永豐銀行,有擔保,6.0,40.1,3.0,詢圈,國泰證券,運動休閒,全球前三大家用健身器材廠商,16.0,100.5,100.0,1.01,2017-09-20,2020-09-20 00:00:00,381.0,100.0
110,1598,15982,岱宇二,永豐銀,有擔保,6.03,89.9,3.0,詢圈,統一證券,運動休閒,全球前三大家用健身器材廠商,16.0,100.5,100.0,1.02,2020-08-24,2023-08-24 00:00:00,177.0,99.6
111,1598,15983,岱宇三,6,無擔保,10.0,100.6,3.0,詢圈,統一證券,運動休閒,全球前三大家用健身器材廠商,16.0,100.0,100.0,1.03,2021-06-28,2024-06-28 00:00:00,121.0,95.1
112,1598,15984,岱宇四,7,無擔保,2.0,33.6,3.0,詢圈,統一證券,生技醫療業,全球前三大家用健身器材廠商,16.7,100.0,100.0,1.051,2025-03-03,2028-03-03 00:00:00,103.5,91.5
113,1599,15991,宏佳騰一,台北富邦,有擔保,3.0,43.3,3.0,競拍,富邦證券,電機機械,以自有品牌「AEON」沙灘車起家並跨入機車領域的業者,7.45,103.07,100.0,1.05,2022-11-18,2025-11-18 00:00:00,109.0,99.1
114,1603,16031,華電一,0,,,,,詢圈,,電器電纜,台灣老牌電線電纜業者，並跨入鋁門窗生產,,,,,,,221.0,100.5
115,1606,16062,歌林二,0,,,,,詢圈,,,,,,,,,,101.5,8.05
116,1609,16091,大亞一,0,,,,,詢圈,,電器電纜,國內漆包線、電力電纜指標廠商及第一大銅銲線供應商,,,,,,,184.0,114.0
117,1609,16092,大亞二,0,,,,,詢圈,,電器電纜,國內漆包線、電力電纜指標廠商及第一大銅銲線供應商,,,,,,,184.0,114.0
118,1609,16093,大亞三,0,,4.6,,5.0,詢圈,,電器電纜,國內漆包線、電力電纜指標廠商及第一大銅銲線供應商,,,,,2005-02-02,2010/02/02,185.0,92.2
119,1609,16094,大亞四,5,無擔保,12.0,28.8,5.0,競拍,凱基證券,電器電纜,國內漆包線、電力電纜指標廠商及第一大銅銲線供應商,73.7,108.31,100.0,1.06,2021-11-22,2026-11-22 00:00:00,187.0,98.0
120,1609,16095,大亞五,5,無擔保,20.0,53.1,5.0,競拍,凱基證券,電器電纜,國內漆包線、電力電纜指標廠商及第一大銅銲線供應商,73.7,107.46,100.0,1.06,2024-09-30,2029-09-30 00:00:00,110.0,92.85
121,1611,16111,中電ㄧ,0,,12.0,23.49,5.0,詢圈,,電器電纜,以東亞照明品牌銷售燈具及LED照明產品,,,,,2010-05-25,2015/05/25,135.0,96.4
122,1611,16112,中電二,5,無擔保,16.0,18.62,5.0,詢圈,元大證券,電器電纜,以東亞照明品牌銷售燈具及LED照明產品,32.3,100.0,100.0,1.03,2013-03-28,2018-03-28 00:00:00,102.4,95.0
123,1616,16161,億泰一,0,,,,,詢圈,,電器電纜,國內電力電纜業者,,,,,,,199.0,99.0
124,1617,16171,榮星一,0,,,,,詢圈,,電器電纜,專業漆包線及電子用線大廠,,,,,,,128.85,99.0
125,1617,16172,榮星二,0,,4.0,11.8,5.0,詢圈,,電器電纜,專業漆包線及電子用線大廠,,,,,2010-08-29,2015/08/29,148.0,102.0
126,1617,16173,榮星三,6,無擔保,2.0,18.5,5.0,競拍,台新證券,電器電纜,專業漆包線及電子用線大廠,15.8,111.8,100.6266,1.0306,2022-03-02,2027-03-02 00:00:00,176.0,94.0
127,1618,16181,合機一,0,,,,,詢圈,,電器電纜,台灣主要電力電纜廠,,,,,,,377.0,125.0
128,1626,16261,艾美特一K,5,無擔保,13.0,52.5,5.0,詢圈,台新證券,電器電纜,大陸「艾美特AIRMATE」品牌小家電生產商,15.3,100.0,100.0,1.0155,2014-08-15,2019-08-15 00:00:00,101.35,89.0
129,1626,16262,艾美特二K,聯保,有擔保,5.0,28.3,3.0,詢圈,台新證券,電器電纜,大陸「艾美特AIRMATE」品牌小家電生產商,15.3,100.0,100.0,1.05,2017-09-30,2020-09-30 00:00:00,125.5,99.7
130,1626,16263,艾美特三K,中信/新光/遠東,有擔保,3.0,32.0,3.0,詢圈,凱基證券,電器電纜,大陸「艾美特AIRMATE」品牌小家電生產商,15.3,100.0,101.51,1.08,2019-12-04,2022-12-04 00:00:00,111.2,101.0
131,1626,16264,艾美特四K,6,無擔保,4.0,27.0,3.0,競拍,凱基證券,電器電纜,大陸「艾美特AIRMATE」品牌小家電生產商,15.3,100.0,100.75,1.07,2020-12-10,2023-12-10 00:00:00,105.5,90.6
132,1704,17043,榮化三,,,,,,詢圈,,,,,,,,,,106.0,71.2
133,1707,17071,葡萄王一,4,無擔保,10.0,170.5,3.0,詢圈,元大證券,生技醫療業,台灣保健食品製造領導廠商,14.8,100.0,100.7519,1.0119,2015-08-26,2018-08-26 00:00:00,169.0,98.8
134,1709,17091,和益一,4,無擔保,7.0,15.4,5.0,詢圈,富邦證券,化學工業,台灣烷化品大廠、且為唯一氫化石油樹脂商,47.7,100.0,100.0,1.05,2014-02-20,2019-02-20 00:00:00,164.0,98.5
135,1712,17121,興農一,5,無擔保,12.0,16.0,5.0,詢圈,永豐金證,化學工業,"台灣農藥第一大廠,在中部經營連鎖超市",42.0,100.0,100.0,1.0356,2013-08-15,2018-08-15 00:00:00,142.1,99.6
136,1715,17151,萬洲一,,,,16.7,,詢圈,福邦證券,,,,,100.0,,2011-09-15,2016-09-15 00:00:00,199.0,90.0
137,1715,17152,萬洲二,,,,17.45,,詢圈,國泰證券,,,,,100.0,,2013-12-20,2018-12-20 00:00:00,149.0,99.5
138,1715,17153,萬洲三,,,,19.0,,詢圈,國泰證券,,,,,100.0,,2015-05-28,2020-05-28 00:00:00,103.9,95.0
139,1720,17202,生達二,0,,,,,詢圈,,生技醫療業,台灣前三大學名藥廠,,,,,,,142.85,100.0
140,1720,17203,生達三,0,,3.0,30.3,5.0,詢圈,,生技醫療業,台灣前三大學名藥廠,,,,,2009-09-18,2014/09/18,207.0,97.65
141,1727,17271,中華化一,6,無擔保,6.0,30.8,3.0,詢圈,富邦證券,化學工業,台灣主要生產硫酸產品之廠商,11.8,100.5,100.0,1.06,2022-10-03,2025-10-03 00:00:00,147.0,97.55
142,1729,17291,必翔一,0,,10.0,,5.0,詢圈,,,,,,,,2007-12-14,2012/12/14,145.5,83.0
143,1729,17292,必翔二,0,,20.0,76.55,5.0,詢圈,,,,,,,,2009-11-22,2014/11/22,101.6,85.45
