序號,股票代號,CB代號,名稱,信用評等,擔保,發行規模,轉換價格,發行年期,詢圈競拍,發行券商,產業分類,產業地位,股本大小,發行價格,到期還本價格,訂價溢價率,掛牌日期,到期日期,掛牌最高,掛牌最低
836,3338,33381,泰碩一,兆豐銀行,有擔保,3.0,37.3,3.0,詢圈,康和證券,電子零組件業,台灣生產散熱器及PC用連接器廠,8.79,100.0,100.0,1.011,2015-01-29,2018/01/29,118.0,98.0
837,3338,33382,泰碩二,5,無擔保,3.0,74.8,3.0,詢圈,群益證券,電子零組件業,台灣生產散熱器及PC用連接器廠,8.79,101.0,101.5075,1.0794,2019-08-20,2022/08/20,138.0,100.0
838,3339,33391,泰谷一,0,,3.0,29.16,5.0,詢圈,,光電業,台灣專業生產綠光、藍光、紫外光LED磊晶片及晶粒供應廠,,,,,2007-07-21,2012/07/21,148.7,45.1
839,3339,33392,泰谷二,板信商銀,有擔保,8.0,16.0,3.0,詢圈,福邦證券,光電業,台灣專業生產綠光、藍光、紫外光LED磊晶片及晶粒供應廠,5.16,100.0,100.0,1.0959,2014-05-09,2017/04/29,106.0,96.0
840,3339,33393,泰谷三,中國信託,有擔保,2.0,16.0,3.0,詢圈,福邦證券,光電業,台灣專業生產綠光、藍光、紫外光LED磊晶片及晶粒供應廠,5.16,100.0,100.0,1.0959,2014-05-09,2017/04/29,109.0,96.85
841,3339,33394,泰谷四,板信銀行,有擔保,3.0,19.8,3.0,競拍,富邦證券,光電業,台灣專業生產綠光、藍光、紫外光LED磊晶片及晶粒供應廠,5.16,110.98,100.0,1.02,2021-09-02,2024/09/02,261.0,100.0
842,3346,33461,麗清一,7,無擔保,7.0,92.8,3.0,詢圈,元大證券,汽車工業,LED車燈模組製造廠,11.4,100.2,100.0,1.02,2017-06-28,2020/06/28,106.5,94.95
843,3346,33462,麗清二,7,無擔保,3.5,35.88,3.0,詢圈,群益證券,汽車工業,LED車燈模組製造廠,11.4,100.0,100.0,1.0208,2019-02-19,2022/02/19,201.0,90.0
844,3346,33463,麗清三,8,無擔保,3.5,47.38,3.0,詢圈,群益證券,汽車工業,LED車燈模組製造廠,11.4,100.0,100.0,1.02,2021-01-15,2024/01/15,142.0,96.95
845,3346,33464,麗清四,7,無擔保,2.0,46.61,3.0,詢圈,群益證券,汽車工業,LED車燈模組製造廠,11.4,100.0,100.0,1.051,2022-02-17,2025/02/17,124.95,93.0
846,3346,33465,麗清五,7,無擔保,3.0,35.8,3.0,詢圈,群益證券,汽車工業,LED車燈模組製造廠,11.4,100.0,100.0,1.0517,2022-12-28,2025/12/28,140.8,98.05
847,3346,33466,麗清六,7,無擔保,3.0,38.8,3.0,競拍,永豐金證,汽車工業,LED車燈模組製造廠,11.5,100.0,100.0,1.0216,2024-11-27,2027/11/27,104.7,93.55
848,3356,33561,奇偶一,0,,3.0,110.0,3.0,詢圈,,光電業,台灣專業安控廠，擁有自有品牌GeoVision,,,,,2008-12-19,2011/12/19,138.0,99.4
849,3357,33571,臺慶科一,4,無擔保,11.0,118.0,3.0,詢圈,元大證券,電子零組件業,台灣全系列電感元件製造商,10.2,100.5,100.0,1.0711,2023-10-31,2026/10/31,155.0,100.0
850,3362,33621,先進光一,土地銀行,有擔保,12.0,254.0,5.0,競拍,中信證券,光電業,台灣光學鏡頭研發及製造廠商,14.2,123.26,100.0,1.02,2024-07-16,2029/07/16,129.9,98.0
851,3363,33631,上詮一,遠東銀行,有擔保,4.0,24.2,3.0,詢圈,康和證券,通信網路業,台灣光纖被動元件大廠,9.86,,,1.04,2013-06-26,2016/06/16,186.0,107.0
852,3363,33632,上詮二,6,無擔保,4.0,26.8,5.0,詢圈,凱基證券,通信網路業,台灣光纖被動元件大廠,9.86,100.0,100.0,1.042,2018-09-06,2023/09/06,200.0,96.5
853,3376,33761,日興一,0,,15.0,102.9,5.0,詢圈,,電子零組件業,全球第一大NB樞紐供應商,,,,,2008-04-06,2013/04/06,186.0,91.15
854,3376,33762,日興二,0,,15.0,80.0,3.0,詢圈,,電子零組件業,全球第一大NB樞紐供應商,,,,,2011-01-09,2014/01/09,155.0,99.6
855,3376,33763,新日興三,4,無擔保,8.0,202.0,5.0,競拍,凱基證券,電子零組件業,全球第一大NB樞紐供應商,18.8,120.85,100.0,1.02,2024-08-23,2029/08/23,151.0,110.0
856,3380,33801,明泰一,0,,12.0,25.66,5.0,詢圈,,通信網路業,佳世達轉投資的網通設備代工大廠,,,,,2005-12-25,2010/12/25,159.0,84.5
857,3380,33802,明泰二,4,無擔保,10.0,20.6,5.0,詢圈,富邦證券,通信網路業,佳世達轉投資的網通設備代工大廠,54.2,,,1.01,2011-10-14,2016/10/04,137.0,99.15
858,3383,33831,新世紀一,0,,3.0,45.3,5.0,詢圈,,,,,,,,2008-05-26,2013/05/26,216.0,102.3
859,3383,33832,新世紀二,0,,2.0,45.3,5.0,詢圈,,,,,,,,2008-05-26,2013/05/26,223.0,90.0
860,3383,33833,新世紀三,0,,3.0,36.5,5.0,詢圈,,,,,,,,2009-06-21,2014/06/21,290.0,95.0
861,3383,33834,新世紀四,0,,2.2,87.8,5.0,詢圈,,,,,,,,2011-03-14,2016/03/14,129.5,88.5
862,3383,33835,新世紀五,,,,21.3,,詢圈,福邦證券,,,,100.0,100.0,0.0,,,108.0,98.0
863,3388,33881,崇越電一,4,無擔保,7.0,73.6,5.0,詢圈,元大證券,電子零組件業,日本信越的矽利光產品專業代理商,7.41,100.4,100.0,1.0514,2022-11-09,2027/11/09,121.95,101.5
864,3390,33901,旭軟一,6,無擔保,4.0,34.7,3.0,詢圈,凱基證券,電子零組件業,專攻LCM模組的軟板廠,6.87,,,1.01,2012-07-20,2015/07/10,155.0,104.8
865,3390,33902,旭軟二,中國信託,有擔保,2.0,26.2,3.0,競拍,中信證券,電子零組件業,專攻LCM模組的軟板廠,6.87,112.55,100.0,1.0202,2025-02-21,2028-02-21 00:00:00,122.0,105.1
866,3402,34021,漢科一,0,,3.5,29.4,5.0,詢圈,,其他業電子業,專注於特殊氣體輸配工程設備廠商,,,,,2007-11-16,2012/11/16,121.0,45.9
867,3413,34131,京鼎一,4,無擔保,10.0,251.2,3.0,詢圈,福邦證券,半導體業,鴻海集團旗下，美商應材的相關供應商,9.72,100.5,100.0,1.1,2018-01-23,2021/01/23,120.0,99.0
868,3413,34132,京鼎二,4,無擔保,20.0,196.9,5.0,詢圈,福邦證券,半導體業,鴻海集團旗下，美商應材的相關供應商,9.72,100.5,100.0,1.1,2020-11-16,2025/11/16,243.0,105.1
869,3416,34161,融程一,0,,3.0,66.0,3.0,詢圈,,電腦及週邊設備業,台灣強固型工業用行動電腦及顯示器廠商,,,,,2010-08-24,2013/08/24,132.0,100.5
870,3416,34162,融程電二,5,無擔保,5.0,80.0,3.0,詢圈,康和證券,電腦及週邊設備業,台灣強固型工業用行動電腦及顯示器廠商,7.82,100.0,100.0,1.0488,2021-03-22,2024/03/22,212.0,108.0
871,3416,34163,融程電三,5,無擔保,5.0,136.8,3.0,詢圈,富邦證券,電腦及週邊設備業,台灣強固型工業用行動電腦及顯示器廠商,7.82,100.0,100.0,1.06,2024-01-25,2027/01/25,165.0,107.3
872,3419,34191,譁裕一    ,0,,,,,詢圈,,通信網路業,全球最大的WiFi天線製造商,,,,,,,145.0,94.5
873,3419,34192,譁裕二,0,,3.0,20.5,3.0,詢圈,,通信網路業,全球最大的WiFi天線製造商,,,,,2010-11-19,2013/11/19,127.9,99.6
874,3431,34311,長天一,0,,2.4,,5.0,詢圈,,,,,,,,2007-04-04,2012/04/04,141.3,68.0
