序號,開標日期,股票代號,CB代號,名稱,股本,發行規模,年期,擔保,信用評等,競拍張數,底標價,截標日,截標收盤,轉換價,訂價溢價率,理論價,最低得標,最低溢價,平均得標,平均溢價,發行券商,產業分類,合格件數,投標張數,投標倍數,投標均張,投標開始日,最高投(得)標數量(張),撥券日,得標總金額,得標手續費率(%),最高得標價格(元),承銷價格(元)
30,2020-12-07,5546,55461,永固一KY,8.2,8.0,3,無擔保,7,6800,100.0,2020-12-03,83.9,78.8,1.023,106.47,100.11,-0.0598,102.41,-0.0382,中信證券,建材營造業,427,9989,1.47,23.39,2020-12-01,680.0,2020-12-16,696364820.0,0.5,120.0,102.41
31,2021-01-25,6706,67061,惠特一,7.2,5.0,3,無擔保,5,4250,100.0,2021-01-21,157.5,168.0,1.05,93.75,108.16,0.1537,109.28,0.1657,凱基證券,光電業,930,22780,5.36,24.49,2021-01-19,425.0,2021-02-03,464426010.0,0.5,136.0,109.28
32,2021-02-26,3713,37131,新晶投控一,7.8,5.0,3,有擔保,7,4250,102.0,2021-02-24,54.6,53.8,1.049,101.49,112.62,0.1097,113.92,0.1225,第一金證,綠能環保,727,22095,5.2,30.39,2021-02-22,425.0,2021-03-10,484175190.0,0.5,120.0,113.92
33,2021-05-04,6251,62512,定穎二,27.8,5.0,3,無擔保,5,4250,101.0,2021-04-29,22.55,23.5,1.078,95.96,107.7,0.1224,110.1,0.1474,富邦證券,電子零組件業,734,13542,3.19,18.45,2021-04-27,425.0,2021-05-13,467936910.0,0.5,121.1,110.1
34,2021-05-04,1341,13411,富林KY一,4.9,1.5,3,無擔保,6,1275,100.0,2021-04-29,82.4,75.8,1.022,108.71,112.2,0.0321,115.0,0.0579,中信證券,塑膠工業,436,6451,5.06,14.8,2021-04-27,127.0,2021-05-13,146628770.0,0.5,152.1,115.0
35,2021-05-06,3512,35121,皇龍一,8.4,4.0,3,有擔保,8,3400,100.0,2021-05-04,36.6,39.0,1.04,93.85,109.29,0.1646,112.04,0.1939,台新證券,建材營造業,420,8803,2.59,20.96,2021-04-29,340.0,2021-05-17,380938230.0,0.5,138.0,112.04
36,2021-05-06,6641,66411,基士德KY一,3.4,3.0,3,無擔保,5,2550,100.0,2021-05-04,71.6,76.0,1.05,94.21,101.5,0.0774,104.64,0.1107,永豐金證,綠能環保,189,3666,1.44,19.4,2021-04-29,255.0,2021-05-17,266842900.0,0.5,138.0,104.64
37,2021-06-02,6015,60151,宏遠一,33.1,7.0,5,無擔保,BBB,7000,100.0,2021-05-31,25.15,19.18,1.02,131.13,114.7,-0.1253,117.8,-0.1016,凱基證券,證券業,747,21079,3.01,28.22,2021-05-27,700.0,2021-06-11,824581730.0,0.5,151.3,117.8
38,2021-06-10,6179,61792,亞通二,7.4,2.0,3,有擔保,6,1700,101.0,2021-06-10,32.75,32.9,1.02,99.54,114.33,0.1485,115.29,0.1582,兆豐證券,其他業,613,11047,6.5,18.02,2021-06-04,170.0,2021-06-22,195992260.0,0.5,125.0,115.29
39,2021-07-01,2482,24822,連宇二,6.2,2.0,3,有擔保,7,1700,100.0,2021-07-01,12.5,12.65,1.025,98.81,112.8,0.1415,114.15,0.1552,國票證券,其他電子業,311,6224,3.66,20.01,2021-06-25,170.0,2021-07-12,194053150.0,0.5,117.71,114.15
40,2021-07-08,6541,65481,長科一,31.2,15.0,5,有擔保,7,12750,102.0,2021-07-06,83.1,75.0,1.042,110.8,118.28,0.0675,120.56,0.0881,凱基證券,生技醫療業,1154,41071,3.22,35.59,2021-07-02,1275.0,2021-07-19,1537201910.0,0.5,128.0,120.56
